id,author,book_title,page,example,type,verified,verification_method,notes
gangadharaiah_4_25,Gangadharaiah & Sandeep,Engineering applications of the Laplace transform,340,Example 4.25,ivp,True,segment ODE + jump-matching (verified this session); CORRECTED -- see notes,"As printed in the source compilation, this example's stated answer (y=1/2-e^t+3/2 e^{2t}) does not satisfy its own stated ODE and initial conditions (fails both the homogeneous-ODE check for t>0 and the y', y'' continuity/jump conditions at t=0). The unique closed-form solution consistent with the stated 4th-order ODE, y(0)=1, y'(0)=y''(0)=y'''(0)=0, and delta(t) forcing was re-derived via Laplace transform and confirmed by direct substitution (all four IC/jump conditions match exactly). Replaced here per the article's policy of stating high-confidence, mathematically-necessary corrections explicitly rather than leaving an inconsistent quote unflagged."
gangadharaiah_4_49,Gangadharaiah & Sandeep,Engineering applications of the Laplace transform,387,Example 4.49,ivp,True,segment ODE + jump-matching (verified this session),
lathi_p164,Lathi & Green,Linear systems and signals,164,Example 2.5,ivp_symbolic,True,symbolic Laplace match (verified this session),
lathi_p166,Lathi & Green,Linear systems and signals,166,Example 2.6,ivp_symbolic,True,symbolic Laplace match (verified this session),
lathi_Drill_2.4a,Lathi & Green,Linear systems and signals,167,Drill 2.4(a),ivp_symbolic,True,symbolic Laplace match (verified this session),
lathi_Drill_2.4b,Lathi & Green,Linear systems and signals,167,Drill 2.4(b),ivp_symbolic,True,symbolic Laplace match (verified this session),
lathi_Drill_2.4c,Lathi & Green,Linear systems and signals,167,Drill 2.4(c),ivp_symbolic,True,symbolic Laplace match (verified this session),
nagle_p403_ex4,"Nagle, Saff & Snider",Fundamentals of differential equations,403,Example 4,ivp,True,symbolic Laplace match (verified this session); equation RECONSTRUCTED -- see notes,"As transcribed, the source equation was incomplete (missing the left-hand forcing term and the right-hand output variable: 'y""+2y'+5y \implies = 1/2 e^{-t} sin 2t'). The unique standard-form ODE y''+2y'+5y=delta(t) with y(0)=y'(0)=0 reproduces the book's own stated closed-form answer exactly (characteristic roots -1+/-2i), so it is used here as a high-confidence reconstruction rather than left blank."
nagle_p409_ex1,"Nagle, Saff & Snider",Fundamentals of differential equations,409,Example 1,ivp,True,segment ODE + jump-matching (verified this session),
nagy_p202,Nagy,Ordinary differential equations,202,General 2nd-order impulse response (symbolic),ivp,True,"segment ODE + jump-matching, symbolic parameters (verified this session)",
nagy_3_4_6,Nagy,Ordinary differential equations,205,Example 3.4.6,transfer_function,True,symbolic Laplace match (verified this session),
nagy_3_4_7,Nagy,Ordinary differential equations,205,Example 3.4.7,ivp,True,segment ODE + jump-matching (verified this session),
nagy_3_4_8,Nagy,Ordinary differential equations,206,Example 3.4.8,ivp,True,segment ODE + jump-matching (verified this session),
ogata_p163,Ogata,Modern control engineering,163,Unit-Impulse Response of First-Order Systems,transfer_function,True,"symbolic Laplace match, general T (verified this session)",
ogata_p178_zeta_lt_1,Ogata,Modern control engineering,178,"Impulse Response of Second-Order Systems, 0\le\zeta<1",ivp_symbolic,True,"symbolic Laplace match via ODE form, general parameters (verified this session)",
ogata_p178_zeta_eq_1,Ogata,Modern control engineering,178,"Impulse Response of Second-Order Systems, \zeta=1",ivp_symbolic,True,"symbolic Laplace match via ODE form, general parameters (verified this session)",
ogata_p178_zeta_gt_1,Ogata,Modern control engineering,178,"Impulse Response of Second-Order Systems, \zeta>1",ivp_symbolic,True,"symbolic Laplace match via ODE form, general parameters (verified this session)",
shabana_p41_ex1_10,Shabana,Vibration of discrete and continuous systems,41,Example 1.10,ivp_numeric,True,"numeric self-consistency (recomputed this session): wn=30, xi=0.03, wd=29.9865, xi*wn=0.9, amp=0.1667 -- all reproduce the book's stated numbers","As transcribed, the damping coefficient's unit was garbled ('c = 18 N. slm'). The NUMERIC value 18 is confirmed correct (it reproduces every downstream number the book states); only the unit label was corrected to the standard 'N*s/m'."
xie_6_11,Xie,Differential equations for engineers,258,Example 6.11,transfer_function,True,numeric Laplace-integral match (verified this session; symbolic engine could not differentiate this pair directly),
xie_6_12,Xie,Differential equations for engineers,258,Example 6.12,transfer_function,True,numeric Laplace-integral match (verified this session),
xie_6_13,Xie,Differential equations for engineers,258,Example 6.13,transfer_function,True,symbolic Laplace match (verified this session); CORRECTED -- see notes,"As transcribed, the source used the variable 'l' in place of 't' (\frac14 l\sin2l), which is not a standard Laplace pair and does not correspond to any function of the transform variable s. Read as an OCR/transcription misread of 't', \frac14t\sin2t is exactly the standard inverse transform of s/(s^2+4)^2 (confirmed symbolically), so it is used here as a high-confidence correction."
xie_6_14,Xie,Differential equations for engineers,258,Example 6.14,transfer_function,True,symbolic Laplace match (verified this session),
xie_6_15,Xie,Differential equations for engineers,258,Example 6.15,transfer_function,True,symbolic Laplace match (verified this session),
